"ProductID","Brand","Class","Assembly_status","Material_type","Required_capacity","Purchasing_cost","Selling_price","WeeklyDiscount","WeeklyDemand"
"P75410080","AllModern","Bedding and bath","Not required","Polyester",1.6,300,340.99,43,143
"P75410120","Union Rustic","Rugs","Not required","Wool",3,230,369.99,31,93
"P75410124A","Samsung","Appliances","Not required","Steel",11,376,591.99,26,43
"P75410124G","Bosch","Appliances","Not required","Steel",10.9,1026,1277.99,20,38
"P75410125","17 stories","Rugs","Not required","Cotton",2.9,311,544.99,29,113
"P75410135","GE","Appliances","Not required","Plastics",10.8,639,1051.99,30,34
"P75411001","GE","Appliances","Not Included","Plastics",11.1,426,695.99,15,30
"P75415030","World Menagerie","Decor","Not required","Glass",7.7,704,1249.99,16,74
"P75415034","Rosdorf Park","Decor","Not required","Wood",8,90,146.99,17,78
"P75415036","Grovelane","Bedding and bath","Not required","Cotton",1.6,44,54.99,35,151
"P75415039","Grovelane","Bedding and bath","Not required","Flannel",1.9,238,293.99,43,147
"P75415044A","Everly Quinn","Decor","Not required","Glass",7.8,435,705.99,14,88
"P75415044B","Rosdorf Park","Decor","Not required","Wood",7.9,760,1067.99,15,72
"P75415044C","AllModern","Bedding and bath","Not required","Flannel",1.8,350,429.99,33,145
"P75415044D","Everly Quinn","Decor","Not required","Wood",8.2,646,450.99,14,88
"P75415056bl","Bosch","Appliances","Not Included","Plastics",11.2,831,1121.99,17,29
"P75415056BL","World Menagerie","Decor","Not required","Wood",7.5,917,1371.99,10,68
"P75415056n","Rosdorf Park","Decor","Not required","Wood",7.5,343,487.99,11,84
"P75415056N","Samsung","Appliances","Not required","Steel",10.5,624,869.99,24,39
"P75415056p","GE","Appliances","Not required","Steel",11,130,193.99,16,42
"P75415056P","Alwyn Home","Bedding and bath","Not required","Cotton",1.7,339,415.99,36,140
"P75415058A","Bosch","Appliances","Not required","Steel",11.1,604,753.99,20,32
"P75415058B","World Menagerie","Decor","Not required","Wood",8,768,1324.99,17,80
"P75415058C","Mercury Row","Rugs","Not required","Cotton",2.6,500,844.99,21,97
"P75415060b","Everly Quinn","Decor","Not required","Wood",7.6,788,1153.99,12,70
"P75415060B","Bosch","Appliances","Not required","Plastics",10.6,649,859.99,18,48
"P75416008","Samsung","Appliances","Not Included","Steel",11.2,438,581.99,16,27
"P75416011","Mercury Row","Rugs","Not required","Cotton",2.8,338,595.99,22,108
"P75416012","GE","Appliances","Not required","Steel",10.6,664,942.99,24,33
"P75416014","Union Rustic","Rugs","Not required","Cotton",2.5,222,417.99,40,105
"P75416015","17 stories","Rugs","Not required","Wool",2.8,500,881.99,22,114
"P75416016","Mercury Row","Rugs","Not required","Cotton",2.7,417,738.99,32,121
"P75416045","Samsung","Appliances","Not required","Plastics",10.9,66,92.99,21,43
"P75416046","AllModern","Bedding and bath","Not required","Flannel",1.8,70,80.99,48,148
"P75416048","GE","Appliances","Not required","Steel",10.7,677,1043.99,26,46
"P75416054","Union Rustic","Rugs","Not required","Wool",2.7,373,700.99,39,91
"P75416156L","Ethan Allen","Furniture","Not required","Leather",46.2,2308,4811.99,13,14
"P75416156S","Samsung","Appliances","Not required","Plastics",10.9,1143,1614.99,30,46
"P75416161G","17 stories","Rugs","Not required","Cotton",2.9,525,992.99,39,106
"P75416161P","Mercury Row","Bedding and bath","Not required","Polyester",1.5,128,157.99,36,146
"P75416161U","Mercury Row","Rugs","Not required","Cotton",2.7,169,298.99,21,90
"P75416162M","Union Rustic","Rugs","Not required","Wool",2.5,471,861.99,23,107
"P75416168M","AllModern","Bedding and bath","Not required","Cotton",1.6,397,488.99,34,152
